                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1227,                 4.6623,                 1.6771,                0.02259,                0.49754,                0.05678,                0.03304,                 1.2016,                 4.4012,                 1.8382,               0.070316,              0.0032982,              0.0032982
                      1,                0.99365,                 4.0647,                 1.5296,                0.41825,                0.18168,                 0.1973,                0.13775,                 1.1966,                 3.2628,                 1.8794,               0.040234,              0.0065495,              0.0065495
                      2,                 1.0492,                 3.5873,                 1.5629,                0.23526,                 0.4388,                0.28916,                0.18887,                 1.1858,                 3.4675,                 1.8356,               0.010069,              0.0097183,              0.0097183
                      3,                 1.0574,                 3.2934,                  1.554,                0.31992,                0.19854,                0.16021,                0.09331,                 1.6711,                 3.6275,                 2.3581,              0.0096288,              0.0096288,              0.0096288
                      4,                 1.0484,                 3.0578,                 1.5287,                0.50826,                0.49355,                0.49936,                0.37482,                 1.0493,                 2.9466,                 1.7221,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.0111,                 2.8372,                 1.4838,                0.47472,                  0.542,                 0.5484,                0.40191,                 1.0937,                 2.1225,                 1.7109,               0.009505,               0.009505,               0.009505
                      6,                0.99598,                 2.6428,                 1.4767,                0.44447,                0.47582,                0.48951,                0.33564,                 1.1447,                 2.2554,                 1.8071,              0.0093813,              0.0093813,              0.0093813
                      7,                0.98109,                 2.4554,                 1.4641,                0.57856,                0.65174,                0.71017,                0.53884,                 1.0294,                 1.6358,                 1.6594,              0.0092575,              0.0092575,              0.0092575
                      8,                0.94355,                 2.2853,                 1.4216,                0.73324,                0.62097,                0.78379,                0.57914,                 1.0493,                 1.5701,                 1.6424,              0.0091337,              0.0091337,              0.0091337
                      9,                 0.9439,                 2.1745,                 1.4299,                0.66073,                0.58518,                0.68589,                0.52117,                 1.0345,                 1.7538,                 1.6232,                0.00901,                0.00901,                0.00901
                     10,                0.91414,                 2.0377,                 1.3886,                0.61512,                0.66705,                0.77438,                0.60362,                 0.8971,                 1.3749,                 1.5015,              0.0088863,              0.0088863,              0.0088863
                     11,                0.89327,                 1.9225,                 1.3639,                0.72726,                0.69441,                0.80811,                0.64298,                0.89757,                 1.2018,                 1.4813,              0.0087625,              0.0087625,              0.0087625
                     12,                0.89484,                 1.8231,                 1.3659,                0.78803,                0.73556,                0.85654,                0.64608,                 1.0237,                  1.126,                 1.6226,              0.0086388,              0.0086388,              0.0086388
                     13,                 0.8752,                 1.7442,                 1.3464,                0.79948,                0.82506,                0.86992,                0.69914,                0.88937,                 1.0756,                 1.4502,               0.008515,               0.008515,               0.008515
                     14,                0.86315,                 1.6382,                 1.3319,                0.67218,                 0.8137,                  0.832,                0.66128,                0.90037,                 1.1694,                 1.4728,              0.0083913,              0.0083913,              0.0083913
                     15,                0.85564,                 1.5864,                 1.3352,                0.74371,                0.66099,                0.84557,                0.62596,                 1.1079,                  1.122,                 1.6874,              0.0082675,              0.0082675,              0.0082675
